rank,narrator,chains,in_degree,out_degree,betweenness,pagerank_source,pagerank_collector,community,unresolved
89,معتمر,43,12,21,0.004543,0.0007632,0.0013159,0,0
90,ابو عوانة,108,32,18,0.004500,0.0007177,0.0022466,9,0
91,يحيي بن ابي كثير,52,19,18,0.004376,0.0016679,0.0010616,6,0
92,حميد,94,11,38,0.004224,0.0014840,0.0011139,0,0
93,ابراهيم بن سعد,101,10,21,0.004216,0.0005819,0.0022925,1,0
94,ابي عثمان,36,14,17,0.004143,0.0009377,0.0006742,0,0
95,عروة بن الزبير,122,24,23,0.004088,0.0017772,0.0012109,1,0
96,اسماعيل بن جعفر,39,18,10,0.004064,0.0004572,0.0011766,1,0
97,هشيم,47,22,24,0.003949,0.0008838,0.0013196,10,0
98,حماد بن زيد,121,28,21,0.003941,0.0009792,0.0025462,0,0
99,ابن ابي ذيب,58,12,16,0.003922,0.0007375,0.0012431,7,0
100,زيد بن ثابت,21,3,10,0.003921,0.0015604,0.0002916,14,0
101,محمد بن كثير,65,4,3,0.003808,0.0008389,0.0015164,4,0
102,محمد بن عبد الرحيم,29,21,1,0.003788,0.0000898,0.0018264,10,0
103,قيس,60,24,7,0.003785,0.0004652,0.0009426,8,0
104,عمرو بن دينار,65,29,16,0.003759,0.0008720,0.0013436,2,0
105,عمران بن حصين,23,3,12,0.003758,0.0012325,0.0004474,0,0
106,عبد الواحد,67,20,12,0.003709,0.0004213,0.0020816,9,0
107,جابر,71,4,27,0.003688,0.0017839,0.0009720,2,0
108,رسول الله,7,2,6,0.003653,0.0042755,0.0002140,7,0
109,محمد بن جعفر,71,21,19,0.003619,0.0005049,0.0019600,13,0
110,الحكم,51,17,5,0.003600,0.0005481,0.0011683,5,0
111,البراء,86,6,13,0.003584,0.0019123,0.0011157,5,0
112,محمد بن المنكدر,40,10,20,0.003560,0.0009140,0.0006407,2,0
113,مالك بن انس,29,20,17,0.003554,0.0002524,0.0007500,8,0
114,محمد بن بشار,178,30,3,0.003545,0.0001482,0.0045749,5,0
115,محمد بن مقاتل,45,8,4,0.003538,0.0014634,0.0008490,4,0
116,زيد بن وهب,26,11,11,0.003533,0.0006710,0.0004331,4,0
117,زيد بن اسلم,57,10,16,0.003505,0.0008594,0.0005947,8,0
118,يزيد بن زريع,71,22,20,0.003499,0.0010904,0.0017334,0,0
119,سال نبي الله,1,1,1,0.003454,0.0004278,0.0003538,0,0
120,عوف,25,13,15,0.003421,0.0005770,0.0010589,0,0
121,عمرو بن ميمون,21,7,5,0.003306,0.0004611,0.0003926,5,0
122,عطاء بن يسار,56,13,14,0.003272,0.0013773,0.0003078,8,0
123,القاسم بن محمد,35,10,19,0.003252,0.0008417,0.0003802,3,0
124,عاصم,43,17,22,0.003216,0.0008566,0.0008326,0,0
125,الوليد,23,8,13,0.003159,0.0005097,0.0012486,6,0
126,سعد,21,11,11,0.003141,0.0005943,0.0003604,5,0
127,حسين المعلم,6,5,5,0.003117,0.0006011,0.0001913,0,0
128,عبد الرزاق,109,4,17,0.003089,0.0012747,0.0026382,3,0
129,عامر,31,14,14,0.003087,0.0006936,0.0006756,9,0
130,سليمان بن حرب,138,9,1,0.003079,0.0010496,0.0032109,5,0
131,عبد الوارث,92,24,7,0.003074,0.0004353,0.0021007,0,0
132,ابو اسحاق,43,15,10,0.003060,0.0007939,0.0012095,5,0
133,ابي حازم,79,8,27,0.002985,0.0012030,0.0005299,13,0
134,حماد,79,28,13,0.002976,0.0005075,0.0019451,0,0
135,الصعب في الذراري كان عمرو يحدثنا,1,1,1,0.002959,0.0003334,0.0000841,2,0
136,صالح,58,10,9,0.002878,0.0012594,0.0014413,1,0
137,سالم بن عبد الله,69,9,8,0.002857,0.0010950,0.0006285,11,0
138,زايدة,24,18,14,0.002765,0.0006419,0.0005868,3,0
