rank,narrator,chains,in_degree,out_degree,betweenness,pagerank_source,pagerank_collector,community,unresolved
780,يزيد بن رومان,5,2,4,0.000283,0.0001440,0.0001240,3,0
781,اسماعيل بن مجالد,2,2,2,0.000282,0.0001863,0.0001339,8,0
782,سعيد بن يسار,3,1,2,0.000281,0.0001987,0.0000684,7,0
783,بشر بن خالد,13,3,1,0.000280,0.0000851,0.0005171,13,0
784,ابي صالح السمان,15,2,5,0.000279,0.0003436,0.0001107,7,0
785,زر بن حبيش,2,2,3,0.000279,0.0001443,0.0000937,0,0
786,سفيان كان عمرو بن دينار,1,1,1,0.000279,0.0001272,0.0000810,4,0
787,ابو اسحاق الفزاري,2,2,2,0.000278,0.0001802,0.0000880,12,0
788,صفية بنت شيبة,3,1,2,0.000278,0.0001985,0.0000775,3,0
789,الوليد بن عيزار,1,1,1,0.000277,0.0000851,0.0001775,16,0
790,عمرو مولي المطلب,4,1,3,0.000277,0.0001662,0.0000791,0,0
791,عامر بن سعد بن ابي وقاص,7,3,3,0.000276,0.0001565,0.0001503,1,0
792,حفص بن عمر,60,5,1,0.000275,0.0001786,0.0015153,5,0
793,شقيقا,2,2,2,0.000275,0.0001573,0.0000773,4,0
794,عيسي بن طهمان,3,1,3,0.000275,0.0001812,0.0000671,4,0
795,خالد بن عبد الرحمن,1,1,1,0.000271,0.0001068,0.0001080,15,0
796,نافع بن جبير,9,3,4,0.000271,0.0002175,0.0001294,2,0
797,عمه ⟨مالك⟩,1,1,1,0.000269,0.0000805,0.0001282,8,1
798,نافع بن عمر,12,1,7,0.000269,0.0002075,0.0003600,2,0
799,ابيه ⟨معتمر⟩,10,7,1,0.000268,0.0002249,0.0002153,0,1
800,محمد بن زياد,23,4,3,0.000267,0.0003191,0.0001809,5,0
801,حيوة بن شريح,3,2,2,0.000266,0.0001687,0.0002436,3,0
802,سعيد هو ابن ابي ايوب,3,3,2,0.000264,0.0001599,0.0001281,14,0
803,فراس,9,2,6,0.000264,0.0002142,0.0002146,9,0
804,يعقوب بن عبد الرحمن,15,3,5,0.000263,0.0001542,0.0002171,13,0
805,محمد بن جبير بن مطعم,9,2,4,0.000263,0.0001665,0.0018514,1,0
806,سهل بن يوسف,3,3,3,0.000263,0.0000892,0.0001551,5,0
807,حنظلة الزرقي,2,2,2,0.000262,0.0000900,0.0001258,6,0
808,بشير بن يسار مولي بني حارثة,2,3,2,0.000260,0.0001124,0.0001325,6,0
809,ابان,3,3,1,0.000257,0.0000825,0.0001526,9,0
810,محمود بن الربيع الانصاري,5,3,1,0.000256,0.0001233,0.0001705,1,0
811,عبدة بن ابي لبابة,4,3,3,0.000256,0.0001857,0.0001639,6,0
812,عبد الوهاب الثقفي,8,3,5,0.000256,0.0001827,0.0002085,0,0
813,من شهد مع النبي خيبر,1,1,1,0.000256,0.0001609,0.0000810,1,0
814,المقبري,6,4,2,0.000255,0.0001361,0.0001727,7,0
815,محمد بن ابراهيم بن الحارث,4,4,4,0.000255,0.0001632,0.0001328,6,0
816,طاوسا,5,1,3,0.000254,0.0001804,0.0000772,2,0
817,هلال بن اسامة,2,2,2,0.000253,0.0001649,0.0000820,1,0
818,عثمان بن الاسود,4,1,4,0.000253,0.0001944,0.0001621,2,0
819,ابي امامة بن سهل,4,4,2,0.000253,0.0001217,0.0001287,1,0
820,محمد بن ابي عتيق,12,1,2,0.000251,0.0003002,0.0003149,1,0
821,بريد بن عبد الله,16,1,4,0.000250,0.0002795,0.0001453,12,0
822,ابي وهو,1,1,1,0.000250,0.0001539,0.0000756,5,0
823,رواه موسي بن عقبة وابن ابي رواد,1,1,1,0.000250,0.0003339,0.0000752,11,0
824,حبيب,6,5,4,0.000248,0.0001558,0.0002066,4,0
825,ابو بكر بن عياش,3,2,3,0.000248,0.0001943,0.0001006,4,0
826,محمد بن سواء,2,2,2,0.000248,0.0001741,0.0001065,0,0
827,عزرة بن ثابت,2,2,2,0.000247,0.0001565,0.0000966,0,0
828,صفوان بن محرز,6,1,2,0.000246,0.0001951,0.0001104,0,0
829,سعيد بن ابي ايوب,5,3,3,0.000245,0.0001203,0.0002197,14,0
830,محمد بن الوليد الزبيدي,1,1,1,0.000244,0.0003152,0.0000810,3,0
831,قيس بن عباد,9,3,4,0.000244,0.0003651,0.0001334,0,0
832,قيسا,3,3,2,0.000244,0.0001099,0.0001333,8,0
833,عبد ربه بن سعيد,5,4,5,0.000244,0.0001156,0.0001487,4,0
834,ابيه ⟨محمد بن جبير بن مطعم⟩,8,1,1,0.000242,0.0002036,0.0020795,1,1
835,ابيه ⟨ابي سهيل⟩,3,2,1,0.000242,0.0001693,0.0000926,8,1
836,مغيرة,11,7,5,0.000242,0.0001650,0.0002163,9,0
837,محمد بن بشر,7,4,5,0.000241,0.0001297,0.0003313,8,0
838,جابر بن سمرة,7,1,3,0.000241,0.0002301,0.0000777,9,0
839,عبيد الله بن حفص,1,1,1,0.000240,0.0000898,0.0001440,11,0
840,عبيد بن عمير,7,1,2,0.000239,0.0004601,0.0000822,2,0
841,جعيد,1,1,1,0.000239,0.0001669,0.0000679,3,0
842,سليمان الاعمش,3,3,2,0.000239,0.0001622,0.0000990,5,0
843,عبد الحميد صاحب الزيادي,3,3,3,0.000238,0.0000964,0.0001321,0,0
844,حفص بن ميسرة,2,2,2,0.000238,0.0001465,0.0000874,3,0
845,الفضيل بن سليمان,6,3,4,0.000238,0.0001877,0.0001387,0,0
846,اخي ⟨اسماعيل⟩,20,4,1,0.000237,0.0001727,0.0004466,8,1
847,فضيل بن غزوان,5,4,3,0.000237,0.0001295,0.0001455,6,0
848,عنبسة,9,1,3,0.000236,0.0001848,0.0002614,1,0
849,افلح بن حميد,4,2,3,0.000235,0.0001567,0.0000996,3,0
850,محمد بن ابي المجالد,2,1,2,0.000235,0.0001188,0.0013538,5,0
851,عايشة بنت طلحة,5,2,2,0.000234,0.0002816,0.0000888,3,0
852,ام حبيبة بنت ابي سفيان,2,2,1,0.000234,0.0001192,0.0001436,3,0
853,شريك بن عبد الله,4,4,4,0.000234,0.0001103,0.0001370,0,0
854,ابي ⟨وهب بن جرير⟩,9,7,1,0.000233,0.0002441,0.0002772,3,1
855,ابي رافع,13,1,6,0.000232,0.0004472,0.0000841,7,0
856,اسماعيل بن زكرياء,8,5,3,0.000231,0.0005190,0.0002198,0,0
857,عباد بن العوام,2,2,2,0.000230,0.0001650,0.0001183,0,0
858,بشيرا,2,2,2,0.000230,0.0000900,0.0001275,6,0
859,حمزة,4,2,3,0.000230,0.0001305,0.0001475,1,0
860,زهدم بن مضرب,4,1,3,0.000230,0.0002811,0.0001261,0,0
861,ابي ⟨عبد الرحمن بن القاسم + ما بالمدينة يوميذ افضل منه⟩,1,1,2,0.000230,0.0001639,0.0000679,3,1
862,عمه ⟨مالك بن انس⟩,1,1,1,0.000229,0.0000852,0.0001282,8,1
863,ابن س لام,1,1,1,0.000229,0.0010293,0.0000905,7,0
864,ابا معبد مولي ابن عباس,2,1,2,0.000229,0.0001997,0.0000688,2,0
865,حبيب بن الشهيد,2,1,2,0.000228,0.0001753,0.0001126,0,0
866,وراد مولي المغيرة بن شعبة,3,1,3,0.000228,0.0002227,0.0000677,6,0
867,عبيدة بن حميد,2,2,2,0.000228,0.0001505,0.0001132,9,0
868,ابن الزبير,2,1,2,0.000227,0.0001752,0.0000718,2,0
869,ابي زرعة بن عمرو بن جرير,3,2,3,0.000226,0.0001575,0.0000821,7,0
870,طلحة بن مصرف,3,1,2,0.000226,0.0001546,0.0000717,12,0
871,الفضيل بن غزوان,1,1,1,0.000226,0.0001211,0.0000678,2,0
872,الحارث بن شبيل,2,1,2,0.000226,0.0000977,0.0001401,16,0
873,ابو رجاء العطاردي,2,1,2,0.000226,0.0001860,0.0000688,2,0
874,ابا زرعة بن عمرو بن جرير,2,2,1,0.000225,0.0001233,0.0001305,5,0
875,ابيه ⟨اسحاق بن سعيد⟩,2,2,1,0.000225,0.0001718,0.0001002,10,1
876,ابي ⟨يعقوب بن ابراهيم⟩,26,5,1,0.000225,0.0002230,0.0006781,10,1
877,الوليد بن كثير,3,3,3,0.000225,0.0000987,0.0002044,12,0
878,عفان بن مسلم,4,3,3,0.000225,0.0000947,0.0001515,9,0
879,يحيي بن سليم,2,1,2,0.000224,0.0001659,0.0001309,2,0
880,عياش,7,1,1,0.000224,0.0005024,0.0002155,0,0
881,عبد الرحمن بن ابي الموالي,3,1,3,0.000224,0.0001793,0.0001039,2,0
882,هلال بن علي,19,4,3,0.000224,0.0004765,0.0001778,10,0
883,ابي التياح,18,5,2,0.000223,0.0001865,0.0003001,0,0
884,ابيه ⟨ابن طاوس⟩,31,3,1,0.000223,0.0005373,0.0001472,9,1
885,حماد بن اسامة,4,4,2,0.000222,0.0000863,0.0001588,12,0
886,مسروقا,4,1,2,0.000222,0.0002382,0.0001781,5,0
887,المفضل بن فضالة,2,1,2,0.000221,0.0001464,0.0001005,1,0
888,عامر الشعبي,1,1,1,0.000221,0.0002038,0.0000807,12,0
889,ابن ابي لبيد,1,1,1,0.000221,0.0006169,0.0000721,7,0
890,الانصاري,4,4,2,0.000220,0.0000867,0.0001763,0,0
891,عمر بن سعيد بن ابي حسين,6,3,4,0.000220,0.0002028,0.0002112,2,0
892,عبد الله بن كعب بن مالك,9,2,6,0.000220,0.0001990,0.0001089,1,0
893,محمد بن مقاتل ابو الحسن,16,3,1,0.000220,0.0001038,0.0003370,4,0
894,ابو مجاهد,2,2,1,0.000220,0.0002148,0.0001708,9,0
895,ابيه ⟨اسحاق بن سعيد بن عمرو بن سعيد بن العاص⟩,2,1,1,0.000219,0.0001592,0.0000752,10,1
896,اصبغ,16,3,1,0.000219,0.0001587,0.0004776,1,0
897,ابي شريح الخزاعي,1,2,1,0.000219,0.0000878,0.0001436,7,0
898,زهدم الجرمي,2,1,2,0.000219,0.0001247,0.0000657,0,0
899,علي بن المبارك,13,2,6,0.000219,0.0002566,0.0002946,6,0
900,ابيه ⟨عبد الرحمن بن المغيرة⟩,1,1,1,0.000219,0.0001719,0.0000780,7,1
901,ابيه ⟨ابراهيم بن يوسف⟩,8,1,1,0.000219,0.0003760,0.0001996,5,1
902,ابي ⟨ابراهيم بن يوسف⟩,1,1,1,0.000219,0.0001151,0.0000802,5,1
903,ابو عبد الله اسمه عبد الله بن ابي عتبة,1,1,1,0.000218,0.0001558,0.0000962,0,0
904,ابي الطفيل,1,1,1,0.000218,0.0001478,0.0001011,4,0
905,املي علي المغيرة بن شعبة في كتاب,1,1,1,0.000218,0.0001830,0.0000967,9,0
906,مرة الهمداني,4,2,2,0.000218,0.0001867,0.0000767,5,0
907,ابي ⟨ابراهيم بن يوسف بن ابي اسحاق⟩,2,1,1,0.000218,0.0001747,0.0000973,5,1
908,ابيه ⟨يزيد بن عبد العزيز⟩,1,1,1,0.000218,0.0001554,0.0000990,3,1
909,زهير بن معاوية,2,1,2,0.000218,0.0001531,0.0001104,5,0
910,ابيه ⟨عبد الرحمن هو ابن عبد الله بن دينار⟩,4,2,1,0.000218,0.0001857,0.0000865,10,1
911,ابي ⟨ابراهيم بن يوسف بن اسحاق بن ابي اسحاق⟩,1,1,1,0.000217,0.0001735,0.0000802,5,1
912,ابيه ⟨عون بن ابي جحيفة⟩,10,1,1,0.000217,0.0003103,0.0001205,5,1
913,جده ⟨عمرو بن يحيي بن سعيد بن عمرو المكي⟩,1,1,1,0.000217,0.0001551,0.0000657,7,1
914,فذكرته لابراهيم فحدثني ابراهيم,1,1,1,0.000217,0.0001765,0.0001024,1,0
915,المحاربي,2,2,2,0.000217,0.0001659,0.0002301,0,0
916,حاتم بن وردان,2,1,2,0.000217,0.0001483,0.0001005,0,0
917,عثمان بن ابي رواد اخي عبدالعزيز,1,1,1,0.000217,0.0001621,0.0000810,10,0
918,بشير بن يسار الانصاري,1,1,1,0.000217,0.0001642,0.0000671,4,0
919,هشام الدستوايي,1,1,1,0.000217,0.0001509,0.0000740,0,0
920,مطرف بن عبد الله بن الشخير,1,1,1,0.000217,0.0001501,0.0000789,0,0
921,ابيه ⟨عمرو بن يحيي بن عمارة⟩,1,1,1,0.000217,0.0001676,0.0000962,6,1
922,ابي ⟨عمي⟩,1,1,1,0.000217,0.0001625,0.0000842,1,1
923,ابي ⟨محمد بن موسي بن اعين⟩,1,1,1,0.000217,0.0001625,0.0000878,5,1
924,ابيه ⟨محمد بن حمزة بن عمرو الاسلمي⟩,1,1,1,0.000217,0.0001487,0.0000718,2,1
925,ابيه ⟨ابو سهيل⟩,1,1,1,0.000217,0.0001523,0.0000679,3,1
926,هارون المقري,1,1,1,0.000216,0.0001719,0.0001208,2,0
927,ابي ⟨يحيي بن زكرياء بن ابي زايدة⟩,1,1,1,0.000216,0.0001551,0.0000802,10,1
928,سعيد بن عبيد الله,1,1,1,0.000216,0.0001484,0.0000844,0,0
929,ابيه ⟨عمرو بن يحيي المازني⟩,5,2,1,0.000216,0.0001656,0.0000706,8,1
930,تذاكرنا عند ابي الضحي,1,1,1,0.000216,0.0001653,0.0000659,2,0
931,سهل بن ابي حثمة الانصاري من بني حارثة,1,1,1,0.000216,0.0001475,0.0000744,14,0
932,المغيرة بن عبد الرحمن,2,2,2,0.000216,0.0001442,0.0000776,1,0
933,شيبة,1,1,1,0.000216,0.0001568,0.0003569,4,0
934,ابيه ⟨عبد الرحمن بن عبد الله بن دينار مولي ابن عمر⟩,1,1,1,0.000216,0.0001524,0.0000752,10,1
935,عمي ⟨عبيد الله بن سعد⟩,1,1,1,0.000216,0.0001438,0.0001678,11,1
936,عمر بن يونس,1,1,1,0.000216,0.0001438,0.0001652,0,0
937,منصور بن سعد,1,1,1,0.000216,0.0001474,0.0001202,0,0
938,ابيه ⟨عبد الله بن سعيد هو ابن ابي هند⟩,1,1,1,0.000216,0.0001461,0.0000659,2,1
939,ابي ⟨معاذ بن هشام⟩,7,2,1,0.000216,0.0001595,0.0001505,0,1
940,ابيه ⟨عاصم بن محمد بن زيد⟩,2,1,1,0.000216,0.0001706,0.0000872,6,1
941,ابن بلال,1,1,1,0.000216,0.0001461,0.0000720,10,0
942,ابيه ⟨عبد الرحمن بن عبد الله بن عبد الرحمن بن ابي صعصعة⟩,6,2,1,0.000216,0.0001614,0.0000737,8,1
943,ابيه ⟨اسحاق بن سعيد بن عمرو⟩,1,1,1,0.000216,0.0001579,0.0000825,10,1
944,ابي ⟨ابي وعمي⟩,1,1,1,0.000216,0.0001625,0.0001105,1,1
945,مجاهدا اخبرهما,1,1,1,0.000216,0.0001541,0.0000740,2,0
946,ابن موهب,1,1,1,0.000216,0.0001625,0.0000667,3,0
947,ابي ⟨العلاء بن المسيب⟩,1,1,1,0.000216,0.0001208,0.0001205,9,1
948,ابو قتيبة سلم بن قتيبة,1,1,1,0.000216,0.0001438,0.0001419,5,0
949,شاذان اخو عبدان,1,1,1,0.000216,0.0001438,0.0001466,5,0
950,ابي ⟨عمر بن محمد بن حسن⟩,1,1,1,0.000216,0.0001438,0.0001279,3,1
951,ابو معشر البصري هو صدوق يوسف بن يزيد البراء,1,1,1,0.000216,0.0001438,0.0001377,2,0
952,اسحاق هو الازرق,1,1,1,0.000216,0.0001438,0.0001558,10,0
953,عمرو بن عاصم الكلابي,1,1,1,0.000216,0.0001438,0.0000796,0,0
954,الانصاري محمد,1,1,1,0.000216,0.0001438,0.0001272,0,0
955,ابراهيم هو ابن طهمان,1,1,1,0.000216,0.0001479,0.0000709,2,0
956,سعيدا المقبري,1,1,1,0.000216,0.0002100,0.0000693,3,0
957,ابيه ⟨خثيم بن عراك بن مالك⟩,1,1,1,0.000216,0.0001765,0.0000657,7,1
958,ابيه ⟨عبد الله بن طاوس⟩,6,1,1,0.000216,0.0001886,0.0000800,2,1
959,ابي ⟨عمر بن حفص بن غياث⟩,31,2,1,0.000216,0.0001438,0.0006392,4,1
960,خالد بن مخلد,30,4,1,0.000216,0.0001438,0.0006175,5,0
961,ابي ⟨سعيد بن يحيي بن سعيد القرشي⟩,2,2,1,0.000216,0.0001438,0.0001468,12,1
962,ابراهيم بن حميد,5,1,1,0.000216,0.0001438,0.0002886,8,0
963,ابو روح الحرمي بن عمارة,1,1,1,0.000216,0.0001438,0.0000881,5,0
964,معلي,4,2,1,0.000216,0.0001438,0.0001272,9,0
965,ابي ⟨سعيد بن يحيي⟩,2,2,1,0.000216,0.0001438,0.0001104,4,1
966,ابي ⟨محمد بن عبدالله⟩,3,1,1,0.000216,0.0001438,0.0001003,0,1
967,ابي ⟨محمد بن عبدالله الانصاري⟩,1,1,1,0.000216,0.0001438,0.0000755,0,1
968,ابي ⟨محمد بن عبدالله بن المثني الانصاري⟩,1,1,1,0.000216,0.0001438,0.0000826,0,1
969,ابي ⟨عمر بن محمد بن الحسن الاسدي⟩,1,1,1,0.000216,0.0001438,0.0001179,4,1
970,ابو معشر,1,1,1,0.000216,0.0001438,0.0001020,12,0
971,ابي ⟨سعيد بن يحيي بن سعيد⟩,2,2,1,0.000216,0.0001438,0.0001157,2,1
972,محمد بن ابراهيم بن دينار,1,1,1,0.000216,0.0001438,0.0000816,7,0
973,محمد بن عبد الرحمن الطفاوي,2,2,1,0.000216,0.0001438,0.0000912,3,0
974,ابي ⟨احمد بن شبيب⟩,3,1,1,0.000216,0.0001438,0.0001292,1,1
975,ابي ⟨محمد بن عبدالله بن المثني⟩,1,1,1,0.000216,0.0001438,0.0000826,0,1
976,ابي ⟨عبد الله بن عثمان بن جبلة⟩,1,1,1,0.000216,0.0001438,0.0000881,5,1
977,ابو سعيد مولي بني هاشم,1,1,1,0.000216,0.0001438,0.0000827,11,0
978,ابي ⟨عبدان بن عثمان⟩,2,1,1,0.000216,0.0001438,0.0001131,5,1
979,حجاج بن محمد الاعور بالمصيصة,1,1,1,0.000216,0.0001438,0.0000881,5,0
980,حزم,1,1,1,0.000216,0.0001438,0.0001045,0,0
981,حجين بن المثني,1,1,1,0.000216,0.0001438,0.0001100,0,0
982,يحيي بن سعيد الاموي,1,1,1,0.000216,0.0001438,0.0000967,2,0
983,زياد بن نافع,1,1,1,0.000216,0.0001438,0.0000657,12,0
984,الحسن بن محمد بن اعين ابو علي الحراني,1,1,1,0.000216,0.0001438,0.0000830,5,0
985,النضر بن محمد,1,1,1,0.000216,0.0001438,0.0001001,11,0
986,عبد المجيد,1,1,1,0.000216,0.0001438,0.0000827,0,0
987,احمد بن محمد بن حنبل بن هلال,1,1,1,0.000216,0.0001438,0.0001080,0,0
988,عبيد الله الاشجعي,1,1,1,0.000216,0.0001438,0.0000855,4,0
989,ابي ⟨منذر بن الوليد بن عبد الرحمن الجارودي⟩,1,1,1,0.000216,0.0001438,0.0000881,5,1
990,ابو سفيان الحميري سعيد بن يحيي بن مهدي,1,1,1,0.000216,0.0001438,0.0000990,0,0
991,ابو يحيي الحماني,1,1,1,0.000216,0.0001438,0.0000791,12,0
992,ابي ⟨احمد بن ابي عمرو⟩,1,1,1,0.000216,0.0001438,0.0000757,4,1
993,الحجاج بن محمد,1,1,1,0.000216,0.0001438,0.0000967,2,0
994,قراد ابو نوح,1,1,1,0.000216,0.0001438,0.0000851,0,0
995,عبد الرحمن بن ابي الموال,1,1,1,0.000216,0.0001438,0.0000767,2,0
996,حماد بن سلمة,1,1,1,0.000216,0.0001438,0.0000721,0,0
997,ابي ⟨احمد بن شبيب بن سعيد الحبطي⟩,1,1,1,0.000216,0.0001438,0.0000852,1,1
998,روحا,1,1,1,0.000216,0.0001438,0.0000827,0,0
999,عقبة بن خالد,1,1,1,0.000216,0.0001438,0.0000754,11,0
1000,ابي ⟨مالكا يسال زيد بن اسلم⟩,1,1,1,0.000216,0.0001514,0.0000718,2,1
1001,طلحة بن عبد الله رجل من بني تيم بن مرة,1,1,1,0.000216,0.0001045,0.0000679,5,0
1002,مالك بن سعير,2,2,2,0.000216,0.0001932,0.0000855,3,0
1003,ابي ⟨محمد بن معن⟩,1,1,1,0.000216,0.0001448,0.0000710,7,1
1004,ابيه ⟨عاصم بن محمد بن زيد بن عبد الله بن عمر⟩,2,1,1,0.000216,0.0001523,0.0000752,4,1
1005,ابيه ⟨عبد الله بن سعيد بن جبير⟩,3,1,1,0.000216,0.0001706,0.0000716,2,1
1006,ابي ⟨عيسي بن حفص بن عاصم⟩,1,1,1,0.000216,0.0001487,0.0000752,6,1
1007,ابيه ⟨ابراهيم بن محمد بن المنتشر⟩,3,1,1,0.000216,0.0001611,0.0000679,5,1
1008,ابيه ⟨نافع بن مالك بن ابي عامر ابو سهيل⟩,2,1,1,0.000216,0.0001608,0.0000684,7,1
1009,ابي ⟨احمد بن شبيب بن سعيد⟩,5,1,1,0.000216,0.0005537,0.0001733,1,1
1010,ابيه ⟨محمد بن عبد الرحمن بن ابي صعصعة المازني⟩,1,1,1,0.000216,0.0001461,0.0000647,8,1
1011,ابي ⟨خثيم بن عراك⟩,1,1,1,0.000216,0.0001495,0.0000657,6,1
1012,امراة,2,1,2,0.000216,0.0005812,0.0004040,2,0
1013,المحصب فحدثنا عبيد الله,1,1,1,0.000216,0.0001529,0.0000752,11,0
1014,اخيه ⟨وهب بن منبه⟩,1,1,1,0.000216,0.0001505,0.0000693,4,1
1015,ابي سفيان مولي ابن ابي احمد,1,1,1,0.000216,0.0001461,0.0000647,8,0
1016,ابي سفيان مولي ابي احمد,1,1,1,0.000216,0.0001461,0.0000657,7,0
1017,ابيه ⟨المقبري {⟩,1,1,1,0.000216,0.0001531,0.0000657,7,1
1018,ابيه ⟨ابي سهيل نافع بن مالك بن ابي عامر⟩,2,1,1,0.000216,0.0001608,0.0000684,7,1
1019,امه ⟨ابي الرجال محمد بن عبد الرحمن⟩,1,1,1,0.000216,0.0001495,0.0000679,3,1
1020,حسن بن محمد,1,1,1,0.000216,0.0001536,0.0000973,2,0
1021,ابيه ⟨يحيي بن ابي زايدة⟩,1,1,1,0.000216,0.0001554,0.0000802,3,1
1022,ابيه ⟨ابن سعيد بن جبير⟩,1,1,1,0.000216,0.0001616,0.0000659,2,1
1023,الحي يحدثون,1,1,1,0.000216,0.0001514,0.0000705,3,0
1024,ابو يزيد المدني,1,1,1,0.000216,0.0001473,0.0000678,2,0
1025,جدي ⟨عمرو بن يحيي بن سعيد⟩,2,1,1,0.000216,0.0001472,0.0000657,9,1
1026,مقسما مولي عبد الله بن الحارث,2,1,1,0.000216,0.0001644,0.0000688,2,0
1027,ابي ⟨بشر بن شعيب بن ابي حمزة⟩,1,1,1,0.000216,0.0001483,0.0000810,10,1
1028,مسكين,1,1,1,0.000216,0.0001509,0.0000881,0,0
1029,انا من ابي سلمة,1,1,1,0.000216,0.0001596,0.0001206,2,0
1030,ابيه ⟨عمر بن محمد العسقلاني⟩,1,1,1,0.000216,0.0001546,0.0000752,11,1
1031,عبيد بن حنين مولي بني زريق,1,1,1,0.000216,0.0001523,0.0000657,7,0
1032,ابيه ⟨عثمان بن عروة⟩,1,1,1,0.000216,0.0001522,0.0000679,3,1
1033,وراد,1,1,1,0.000216,0.0001517,0.0000771,9,0
1034,ابي ⟨واقد بن محمد بن زيد⟩,1,1,1,0.000216,0.0001501,0.0000752,11,1
1035,جده ⟨ابي بردة بن عبد الله بن ابي بردة⟩,1,1,1,0.000216,0.0001514,0.0000657,12,1
1036,ابيه ⟨عبد الرحمن بن عبد الله بن عبد الرحمن⟩,1,1,1,0.000216,0.0001461,0.0000675,7,1
1037,ابي الغيث مولي ابن مطيع,1,1,1,0.000216,0.0001461,0.0000657,7,0
1038,هزيل,2,1,1,0.000216,0.0001589,0.0000756,4,0
1039,ابيه ⟨واقد بن عبد الله⟩,1,1,1,0.000216,0.0001501,0.0000648,11,1
1040,ابيه ⟨عبد الرحمن بن عبد الله بن ابي صعصعة⟩,1,1,1,0.000216,0.0001461,0.0000647,8,1
1041,امه ⟨منصور بن صفية⟩,1,1,1,0.000216,0.0001510,0.0000679,3,1
1042,ابيه ⟨عمر بن نافع⟩,1,1,1,0.000216,0.0001475,0.0000752,11,1
1043,نافع مولي عبد الله,1,1,1,0.000216,0.0001475,0.0000752,11,0
1044,علي بن ربيعة,1,1,1,0.000215,0.0001151,0.0000771,9,0
1045,الرباب,1,1,1,0.000215,0.0000984,0.0002503,0,0
1046,محمد بن جهضم,1,1,1,0.000215,0.0001108,0.0000887,2,0
1047,عقبة بن صهبان,2,2,1,0.000215,0.0000918,0.0001416,0,0
1048,ابي ⟨معتمر بن سليمان⟩,4,3,1,0.000215,0.0002014,0.0001735,0,1
1049,عبيد الله بن كعب,1,1,1,0.000215,0.0000979,0.0001320,1,0
1050,ابن ابي الفديك,2,1,2,0.000215,0.0001119,0.0001002,7,0
1051,ابيه ⟨عبد الرحمن بن عبد الله⟩,2,2,1,0.000214,0.0001290,0.0000789,1,1
1052,ابن ابي حازم,19,2,5,0.000214,0.0001465,0.0003122,13,0
1053,عبد الرحمن بن الاصبهاني,5,3,2,0.000214,0.0001125,0.0001746,5,0
1054,ابن ابي بكرة,6,2,2,0.000213,0.0001458,0.0001413,0,0
1055,ابا رجاء,2,2,1,0.000213,0.0001119,0.0000817,5,0
1056,حسين الجعفي,4,3,4,0.000211,0.0001155,0.0001721,3,0
1057,المعتمر,4,3,2,0.000210,0.0000844,0.0001811,4,0
1058,حمزة بن عبد الله,4,3,2,0.000210,0.0001180,0.0001305,1,0
1059,ابن ابي عدي,29,8,3,0.000210,0.0001300,0.0007515,5,0
1060,الحسن بن محمد بن علي,2,2,2,0.000208,0.0001021,0.0001318,1,0
1061,ابيه ⟨معتمر بن سليمان⟩,1,1,1,0.000208,0.0001087,0.0000789,0,1
1062,ابي ⟨محمد بن فليح⟩,12,4,1,0.000208,0.0002136,0.0003211,11,1
1063,معافي بن عمران,1,1,1,0.000206,0.0001108,0.0000951,2,0
1064,ابو عمرو,3,3,1,0.000206,0.0001342,0.0003731,6,0
1065,سعيد بن يسار ابا الحباب,1,1,1,0.000206,0.0001131,0.0000693,8,0
1066,مهدي بن ميمون,7,5,3,0.000204,0.0000941,0.0002262,0,0
1067,عبد الرحمن بن كعب بن مالك,6,3,2,0.000204,0.0001399,0.0001283,2,0
1068,عبد الله بن سعيد,3,4,4,0.000203,0.0001568,0.0001755,11,0
1069,عبد الله بن عمر النميري,7,3,4,0.000203,0.0001880,0.0002503,1,0
1070,ابراهيم بن ميسرة,7,3,2,0.000203,0.0001457,0.0001410,4,0
1071,ثابت بن يزيد,4,2,3,0.000202,0.0000865,0.0001736,0,0
1072,بشير بن يسار مولي الانصار,1,2,1,0.000202,0.0000844,0.0001258,6,0
1073,سعيد بن عبيد الله الثقفي,3,3,1,0.000202,0.0001913,0.0002187,15,0
1074,ابي سهيل,3,1,1,0.000201,0.0001077,0.0001418,8,0
1075,عبد الله بن عامر,3,2,2,0.000201,0.0001089,0.0001316,1,0
1076,حسين,9,4,5,0.000201,0.0001691,0.0002697,0,0
1077,عمر بن محمد بن زيد,2,2,2,0.000201,0.0001195,0.0001390,11,0
1078,عمرو بن اوس,3,3,2,0.000200,0.0001085,0.0001271,2,0
1079,واصل,8,2,5,0.000200,0.0001740,0.0001588,4,0
1080,بشير بن يسار,10,3,3,0.000199,0.0001706,0.0001450,6,0
1081,عباس بن سهل بن سعد,4,2,3,0.000197,0.0002494,0.0001526,9,0
1082,محبوب بن الحسن,1,1,1,0.000197,0.0001108,0.0000826,10,0
1083,عمر بن ابي زايدة,4,2,3,0.000196,0.0001601,0.0001170,5,0
1084,جعفر بن عون,5,2,4,0.000196,0.0001101,0.0001935,5,0
1085,همام بن الحارث,3,2,2,0.000196,0.0001689,0.0001203,4,0
1086,محمد بن عبيد,5,4,2,0.000195,0.0000880,0.0002215,3,0
1087,ذكر عروة,1,2,1,0.000195,0.0000869,0.0001320,2,0
1088,هشام بن زيد بن انس,2,2,2,0.000195,0.0001088,0.0001259,0,0
